ID,Group,Step,Domain,Project Idea,Description,Weeks
1,I,1,IOT,Air Quality Pocket Node,PM2.5/PM10 sensing with cheap sensor,1
2,I,2,Web,Air Quality Web Panel,Live charts + thresholds,1
3,I,3,Automation,Pollution Alert Bot,Notify when AQI crosses limit,1
4,I,4,Mobile,Air Exposure Diary,Manual + sensor-based logging,1
5,I,5,System,Sensor Data Retention Policy,Auto-rollups + pruning,1
6,II,1,IOT,Water Flow Pulse Counter,Measure pipe flow via pulses,1
7,II,2,Web,Water Usage Dashboard,Daily/weekly analytics,1
8,II,3,Automation,Leak Anomaly Detector,Detect abnormal continuous flow,1
9,II,4,Mobile,Water Budget App,Personal limits + alerts,1
10,II,5,System,Edge Buffering Service,Offline-first ingestion,1
11,III,1,IOT,Room Presence Beacon,BLE presence detection,1
12,III,2,Web,Presence Heatmap UI,Time-based room usage,1
13,III,3,Automation,Auto-Idle Actions,Presence-based triggers,1
14,III,4,Mobile,Presence Override Switch,Manual control,1
15,III,5,System,State Consistency Checker,Debounce + reconcile events,1
16,IV,1,IOT,Ambient Light Sampler,Lux sampling over time,1
17,IV,2,Web,Circadian Lighting Planner,Schedule suggestions,1
18,IV,3,Automation,Screen Dimmer Daemon,Ambient-aware dimming,1
19,IV,4,Mobile,Light Comfort Feedback,User ratings loop,1
20,IV,5,System,Rule Engine Sandbox,Evaluate light rules safely,1
21,,,IOT,Mailbox Open Counter,Reed switch mail detection,1
22,,,IOT,Footstep Counter Mat,Pressure-based counts,1
23,,,IOT,Desk Vibration Logger,IMU-based micro-movements,1
24,,,IOT,Cold Chain Monitor,Temp threshold tracking,1
25,,,IOT,Pet Bowl Refill Sensor,Weight-based refill alert,1
26,,,IOT,Window Sun Exposure Meter,Light duration tracking,1
27,,,IOT,Fan Runtime Tracker,Relay-based runtime stats,1
28,,,IOT,Indoor CO2 Meter,CO2 ppm logging,1
29,,,IOT,Key Rack Presence Sensor,Lost-key detection,1
30,,,IOT,Noise Spike Detector,Event-based sound alerts,1
31,,,Web,Personal SLA Tracker,Track promises vs delivery,1
32,,,Web,Micro-Journal App,One-line daily logs,1
33,,,Web,Reading Queue Manager,Articles with decay priority,1
34,,,Web,Decision Logbook,Record decisions + outcomes,1
35,,,Web,Focus Session Board,Shared silent workroom,1
36,,,Web,Skill Practice Tracker,Deliberate practice logs,1
37,,,Web,Home Inventory Lite,Minimal asset registry,1
38,,,Web,Timeboxing Planner,Calendar with limits,1
39,,,Web,Context Switch Counter,Manual tagging of switches,1
40,,,Web,Goal Drift Visualizer,Planned vs actual progress,1
41,,,Mobile,Offline Expense Snapper,Photo + quick entry,1
42,,,Mobile,Commute Mood Logger,Trip-based mood tagging,1
43,,,Mobile,Quick Voice Reminders,Lockscreen capture,1
44,,,Mobile,Notification Snoozer,Rule-based quiet hours,1
45,,,Mobile,Daily Stretch Coach,Timed prompts + gifs,1
46,,,Automation,Build Failure Triage,Parse CI logs + hints,1
47,,,Automation,Inbox Aging Monitor,Flag stale threads,1
48,,,Automation,Auto-Rename Downloads,Heuristic file naming,1
49,,,Automation,Website Change Watcher,Diff + notify,1
50,,,Automation,Idle Tab Cleaner,Browser automation cleanup,1
51,,,Automation,Daily Standup Summarizer,Collect + summarize inputs,1
52,,,Automation,Error Budget Tracker,Count incidents vs budget,1
53,,,Automation,Meeting Notes Extractor,Agenda→action items,1
54,,,Automation,Periodic Health Pings,Service heartbeat checks,1
55,,,Automation,Queue Backlog Alert,Threshold-based alerts,1
56,,,System,Local Event Bus,Simple pub/sub daemon,1
57,,,System,Process Tree Visualizer,Live parent-child view,1
58,,,System,Syscall Frequency Sampler,Lightweight tracing,1
59,,,System,Filesystem Hotspot Finder,IO heatmap,1
60,,,System,User Session Timeline,Login→logout tracing,1
61,,,System,Service Dependency Graph,Static + runtime links,1
62,,,System,Resource Spike Replayer,Replay captured spikes,1
63,,,System,Config Drift Detector,Compare desired vs live,1
64,,,System,Port Usage Sentinel,Unexpected open ports,1
65,,,System,Local Rate Limiter,Token bucket service,1
66,,,CV,Desk Clutter Index,Object count heuristic,1
67,,,CV,Whiteboard Text Cleaner,Enhance faint markers,1
68,,,CV,Receipt Line Extractor,Key-value extraction,1
69,,,CV,Book Spine Reader,Title detection on shelf,1
70,,,CV,Face Glare Detector,Lighting quality check,1
71,,,CV,Handwritten Todo Digitizer,Photo to checklist,1
72,,,CV,Room Occupancy Estimator,Single-camera count,1
73,,,CV,Screen Time via Webcam,On-screen presence,1
74,,,CV,Package Damage Detector,Visual anomaly spotting,1
75,,,CV,Plant Health Visual Check,Leaf color analysis,1
76,,,Hybrid,Quiet Hours Controller,Mobile + system rules,1
77,,,Hybrid,Smart Break Timer,IOT button + app,1
78,,,Hybrid,Desk Availability Sign,Sensor + web badge,1
79,,,Hybrid,Meeting Room Light Cue,Calendar + IOT,1
80,,,Hybrid,Study Sprint Launcher,One-tap multi-actions,1
81,,,Hybrid,Home Arrival Routine,GPS + IOT triggers,1
82,,,Hybrid,Focus Score Dashboard,Signals aggregation,1
83,,,Hybrid,Appliance Usage Card,QR + usage stats,1
84,,,Hybrid,Visitor Log Tablet,Camera + form,1
85,,,Hybrid,Energy Saving Challenge,Household gamification,1
86,,,Fun,Random Skill Drill,Daily micro-challenges,1
87,,,Fun,Personal Trivia Generator,From your data,1
88,,,Fun,Ambient Sound Mixer,Context-aware loops,1
89,,,Fun,Daily Curiosity Feed,One strange fact/day,1
90,,,Fun,Mini Habit Lottery,Weighted random habits,1
91,,,Fun,Reflection Prompt Wheel,Spin-to-prompt,1
92,,,Fun,Memory Lane Notifier,Past logs resurfaced,1
93,,,Fun,Time Perception Test,Estimate vs actual,1
94,,,Fun,Decision Fatigue Meter,Choice counting,1
95,,,Fun,Personal Myth Builder,Turn weeks into stories,1
96,,,Automation,Calendar Conflict Detector,Overlap + priority rules,1
97,,,System,Local Feature Flag Service,Toggle behaviors live,1
98,,,Web,Personal API Playground,Test endpoints safely,1
99,,,IOT,Button-Based Panic Signal,One-press alert,1
100,,,CV,Workspace Ergonomics Snapshot,Posture + layout score,1
